#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
2 2.25 2.5 3 5.5 5.75 437.9072446974644 0.1418795962002832
2 2.25 2.5 3 5.75 6 382.6426107661197 0.1211859897556451
2 2.25 2.5 3 6 6.25 335.9328959027601 0.1037039701093931
2 2.25 2.5 3 6.25 6.5 296.2269520217255 0.08892055333444659
2 2.25 2.5 3 6.5 6.75 262.2930072459157 0.07640431607495657
2 2.25 2.5 3 6.75 7 233.1451951475827 0.06577856265326432
2 2.25 2.5 3 7 7.25 207.9898656566018 0.05674135403052105
2 2.25 2.5 3 7.25 7.5 186.1829584355932 0.04903016560635365
2 2.25 2.5 3 7.5 7.75 167.1992300969745 0.04243895781837637
2 2.25 2.5 3 7.75 8 150.6073592817019 0.03678280189387806
2 2.25 2.5 3 8 8.25 136.0514953110805 0.03192044133785998
2 2.25 2.5 3 8.25 8.5 123.2362060268344 0.02772522916909281
2 2.25 2.5 3 8.5 8.75 111.9153903906484 0.02409960055818772
2 2.25 2.5 3 8.75 9 101.8826592943823 0.02095720341904439
2 2.25 2.5 3 9 9.25 92.96451132701195 0.01822828305314772
2 2.25 2.5 3 9.25 9.5 85.0141487238519 0.01585483992413117
2 2.25 2.5 3 9.5 9.75 77.90704536244877 0.01378377536950381
2 2.25 2.5 3 9.75 10 71.53708268296511 0.01197629374442499
2 2.25 2.5 3 10 20 926.2350716072896 0.2740115948085986
2 2.25 3 3.5 0 0.25 -216297.4951195748 1109.480130151975
2 2.25 3 3.5 0.25 0.5 -622436.534593605 614.2000777954856
2 2.25 3 3.5 0.5 0.75 -954558.58324054 929.0820998536489
2 2.25 3 3.5 0.75 1 -1178212.753239048 1133.070423983808
2 2.25 3 3.5 1 1.25 -1264959.351005194 257.3781990175074
2 2.25 3 3.5 1.25 1.5 -1140000.853092752 1059.549359588186
2 2.25 3 3.5 1.5 1.75 -847323.2146978994 685.2566041161764
2 2.25 3 3.5 1.75 2 -521603.2945284416 324.6990611887273
2 2.25 3 3.5 2 2.25 -264883.3647950736 96.49764293509369
2 2.25 3 3.5 2.25 2.5 -108989.6587180754 4.639202208259266
2 2.25 3 3.5 2.5 2.75 -34308.40222102083 14.20176948308282
2 2.25 3 3.5 2.75 3 -6353.622319118113 9.038324855218624
2 2.25 3 3.5 3 3.25 1328.087256229476 0.7523040715476035
2 2.25 3 3.5 3.25 3.5 2262.766070227131 0.5101919077000199
2 2.25 3 3.5 3.5 3.75 1633.617867806722 0.3988447366690386
2 2.25 3 3.5 3.75 4 1341.164408256361 0.3384705752089303
2 2.25 3 3.5 4 4.25 1115.46329328398 0.2831932447370491
2 2.25 3 3.5 4.25 4.5 935.2612367594375 0.2352044467631913
2 2.25 3 3.5 4.5 4.75 790.0211328813933 0.1947663816843033
2 2.25 3 3.5 4.75 5 671.931523940056 0.1611431681460544
2 2.25 3 3.5 5 5.25 575.13463181441 0.1334500976352047
2 2.25 3 3.5 5.25 5.5 495.1905695013335 0.110741399962194
2 2.25 3 3.5 5.5 5.75 428.699623466043 0.09219819150462172
2 2.25 3 3.5 5.75 6 373.0338721904414 0.07698797911461952
2 2.25 3 3.5 6 6.25 326.1439682519357 0.06451464784078098
2 2.25 3 3.5 6.25 6.5 286.418851144875 0.05454233809746256
2 2.25 3 3.5 6.5 6.75 252.5822217698244 0.04864559448438399
2 2.25 3 3.5 6.75 7 223.6153504950921 0.04337913293164775
2 2.25 3 3.5 7 7.25 198.6991742582821 0.0387089351294776
2 2.25 3 3.5 7.25 7.5 177.1709967760343 0.03457030918752935
2 2.25 3 3.5 7.5 7.75 158.4911997587667 0.03091553030779437
2 2.25 3 3.5 7.75 8 142.2179935603672 0.02768426960190595
2 2.25 3 3.5 8 8.25 127.9876832264914 0.02483038131394721
2 2.25 3 3.5 8.25 8.5 115.4993117999344 0.02230440324558458
2 2.25 3 3.5 8.5 8.75 104.5024347155117 0.02006609823698113
2 2.25 3 3.5 8.75 9 94.78778816877325 0.01807796173726217
2 2.25 3 3.5 9 9.25 86.17945499215431 0.01630661034741365
